Iteration,Time,Accuracy,F1 Score,Blue,Green,Red,Gray,Gabor4,Gabor5,Gabor6,Gabor8,Gabor11,Gabor23,Roberts,Sobel,Scharr,Prewitt,Gaussian s3,Gaussian s7,Median s3,Felzenszwalb,Quickshift,SLIC,Watershed
0,595.1902902126312,0.9831174834949756,0.9617458452241061,0.22419655016807125,0.04489675182885592,0.042791026061923185,0.08305428192294714,0.018359950504401923,0.005509868212384877,0.008057529638526772,0.005490740866727217,0.0016413308329181568,0.003582199440410665,0.10259183118370847,0.02902171969494377,0.07474516265288746,0.05565192231664051,0.07678510795552536,0.018923811224121696,0.1335013974661589,0.0261402233773117,0.019861433511449065,0.010910652381247467,0.014286508758838506
1,445.2197103500366,0.983274771897623,0.9621099957085778,0.24867534401590186,0.047276566519881665,0.0453007385580592,0.044669730981543726,0.00582453743810558,0.011884074494996217,0.009508849738651477,0.01020825193232633,0.0015125364721731756,0.004885025077675666,0.082327518122026,0.02966032448668773,0.08563533541812576,0.028182472159936255,0.1183821724712014,0.054604718070437284,0.09471072815367891,0.03373991870363107,0.015949045330885616,0.011184488434870762,0.015877623419204484
2,717.0836369991302,0.9832050179103621,0.9619237751984897,0.25991278619005387,0.04119677899241411,0.034850691565333596,0.059727539707036634,0.0023870625998540576,0.010435131078404056,0.007980227748651486,0.004821311836484976,0.0015151023077104367,0.003559616268815016,0.06772889316204465,0.0536223909559664,0.02491934270575611,0.04470688503459096,0.10063555929803747,0.10422869196865978,0.09507906713910425,0.03927940716036954,0.017121387495339136,0.011038660735880178,0.015253466049493325
3,366.38458800315857,0.9831345800604808,0.961806699133674,0.3042575650432441,0.04651919235056698,0.040119203505843595,0.03962675677896978,0.00670257707214447,0.009880964863463558,0.02200672037614203,0.004920056889699884,0.001526185504535401,0.00374350995803823,0.06424523843011853,0.06876833654040486,0.08495998937895574,0.02432580571087459,0.05672055816727961,0.03864924507451914,0.10815231871360301,0.030173796709150352,0.019296734007789744,0.01130315873038411,0.014102086194272279
4,883.6609382629395,0.9833933080851254,0.962344501985092,0.3316458900393666,0.048650231910981265,0.039259590883991745,0.05603496504637364,0.009625691565791742,0.014233940233748585,0.01188264523459825,0.00523913764970922,0.0015049727550774232,0.0034973842558300725,0.10125715029364042,0.046213452808379324,0.05531659233217513,0.032680547743875535,0.034607012680164986,0.030397291800568223,0.10859847414077155,0.02509208251483815,0.018486785798038172,0.011193141864947635,0.014583018447132326
5,408.3573729991913,0.9833702847102451,0.9622806963118306,0.3223112541790508,0.04861741000423351,0.027062208320339738,0.0646537879652863,0.00308583786719606,0.007312091402563299,0.005626225062058396,0.004429785618404323,0.0014975179338224448,0.009298260531757427,0.06217758750576462,0.03314390316733958,0.059264933310571456,0.039516638319248634,0.0922154028339256,0.019100203519730144,0.11821709043653642,0.035208852027506295,0.021182550820441494,0.011401116648203476,0.014677342526019974
6,620.8212792873383,0.9833768953822405,0.9623485056968002,0.3077238464378496,0.05121741088715796,0.027950263478139326,0.05786292363278165,0.010084932011206029,0.005668228214584451,0.008105961076215244,0.005013801183159286,0.0018863415236152804,0.010177929141373469,0.06039359584077345,0.06715322705912555,0.046229379324885904,0.02447926195388219,0.09422674818990148,0.04044932888093866,0.1040144345740428,0.03322041595018404,0.017192327065822924,0.012046612947112165,0.014903030627248617
7,359.27093482017517,0.9833935360393321,0.9623820210330202,0.25984932238567077,0.034940393133322784,0.049707302335283594,0.03870940695049239,0.005217774890056344,0.007869199899733375,0.018593067067175582,0.005093303146161652,0.0015196320466028953,0.003834245527238826,0.0717332993030695,0.03680838430648063,0.0519188797421487,0.05621163259938913,0.06205568222004449,0.035141330587532264,0.1797154208744977,0.0366894517261557,0.017094907020745495,0.011964415594422729,0.015332948643775528
8,699.9782254695892,0.9833509086026726,0.9623416378657391,0.24008328757348754,0.05092613609606339,0.037389894410254865,0.05220859099705128,0.0025210107288993026,0.005873560178920285,0.01851892170910425,0.005860459107143474,0.0015910786581567204,0.003907971141024495,0.10620928710918727,0.042571535848137304,0.03311962580585527,0.039731208147114554,0.10081143350154792,0.05605964385535265,0.1207646003348491,0.033871182584191355,0.02155096710511243,0.011388005074072026,0.015041600034474802
9,975.0777854919434,0.9834325162086839,0.9624616179223965,0.3145425906305924,0.06671435756801308,0.03116922251014334,0.040289334549070584,0.007935763713529633,0.005185548776441896,0.005936172431951993,0.005297746285901622,0.001546654971070613,0.009341666032623064,0.08099000423042015,0.03683817492451275,0.045588417011063975,0.03832606178454605,0.07782399356211239,0.05844543113830929,0.08898037566942554,0.03797475662576988,0.018921255011855466,0.012142718014948385,0.016009754557697854
10,953.1540825366974,0.9831514486717792,0.9618194741757652,0.26330509755625964,0.0489373172951665,0.028230335055830214,0.05170911926212478,0.007641313418214897,0.004244733239452803,0.007463991441386458,0.00560176795943988,0.001522545452856419,0.011484187318598805,0.0734746519374593,0.04332040902937935,0.06328707827481746,0.03426382940472637,0.09276239175651294,0.04902147042193618,0.13827833570530262,0.03151208683946509,0.016550696198345496,0.010729109232426108,0.016659533200298778
11,927.4342043399811,0.9833525042821197,0.9623083807209664,0.37584564457429437,0.025927753548850973,0.032682565955488976,0.059417647304250545,0.004117464737489645,0.013387547721508039,0.005067640542239437,0.011504025520827615,0.0014880337101951622,0.005984097162143341,0.06448522936692214,0.03388613200658687,0.05550472932772128,0.03405387020638401,0.07310029422422573,0.02764877975662136,0.09350579546655374,0.03559411297356878,0.019193651253660758,0.011525448165960881,0.01607953647450638
12,796.5068907737732,0.9832364755908914,0.962018647992162,0.2571889533046322,0.04826639221267386,0.03195307646696175,0.06788139282123332,0.002264218666653467,0.006005648130818138,0.013086910713889705,0.004932354856709202,0.0015492757478884904,0.0036895937999664014,0.05851989185654931,0.04282993757003244,0.05259693952378246,0.05367709777675643,0.131132890995142,0.028532639309087206,0.1197220107326096,0.03076587205705424,0.017836053917274185,0.012191488178782404,0.01537736136150324
13,499.2830193042755,0.9832079813150496,0.9619253579059773,0.2799758081455883,0.033330666898559916,0.03125402712393196,0.06650454011182812,0.009824648193974468,0.004090755713334618,0.02784142451328653,0.0064869062362738535,0.0015198819019721906,0.010232992247674474,0.09342170776289468,0.035856018808622304,0.07626692980739319,0.03252383929821224,0.06409080111032515,0.014706127146172712,0.13467798915608548,0.03371688473911891,0.017606380635604355,0.011568557900915922,0.014503112548230493
14,356.75192523002625,0.9834040219328419,0.9624500995430304,0.2714676862617464,0.050970677342815074,0.03336798742126519,0.033478735242848966,0.006347598726594327,0.003440469142140523,0.014547309652024564,0.006185684230569757,0.001607398763361605,0.003703884844007778,0.07236188237760667,0.04322884403221648,0.0569224434134805,0.028701790900041647,0.08215311528786065,0.040790883512249784,0.16666159496742783,0.03679680316466046,0.01909492267303263,0.013463674549429188,0.014706613494620019
