,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19,0,30088,0.5162029266357422,0.03750080584172487,0.0,0.0,gini,,auto,2,2,50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1262,,,,,,,
20,0,30088,0.48392500877380373,0.05617763091824074,0.0,0.0,gini,,auto,2,5,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",,,,,,,,1262,,,,,,,
21,0,30088,0.5386678218841553,0.019179600930203683,0.0,0.0,gini,,auto,2,5,20,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",,,,,,,,1262,,,,,,,
22,0,30088,0.5429112434387207,0.07737447268184024,0.0,0.0,gini,,auto,2,5,30,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 30}",,,,,,,,1262,,,,,,,
23,0,30088,0.5727548599243164,0.05198849235934215,0.0,0.0,gini,,auto,2,5,40,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 40}",,,,,,,,1262,,,,,,,
24,0,30088,0.5364791870117187,0.04727693934857156,0.0,0.0,gini,,auto,2,5,50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,,,1262,,,,,,,
25,0,30088,0.5453257083892822,0.08540314370325018,0.0,0.0,gini,,auto,2,10,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",,,,,,,,1262,,,,,,,
26,0,30088,0.5454607486724854,0.06335825822300392,0.0,0.0,gini,,auto,2,10,20,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 20}",,,,,,,,1262,,,,,,,
27,0,30088,0.5421801090240479,0.0890221603110333,0.0,0.0,gini,,auto,2,10,30,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 30}",,,,,,,,1262,,,,,,,
28,0,30088,0.46950016021728513,0.02078142597013019,0.0,0.0,gini,,auto,2,10,40,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 40}",,,,,,,,1262,,,,,,,
29,0,30088,0.5012454032897949,0.04403620746313825,0.0,0.0,gini,,auto,2,10,50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1262,,,,,,,
30,0,30088,0.5125470638275147,0.02460885158458691,0.0,0.0,gini,,auto,4,2,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}",,,,,,,,1262,,,,,,,
31,0,30088,0.5063059806823731,0.06575595312897883,0.0,0.0,gini,,auto,4,2,20,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 20}",,,,,,,,1262,,,,,,,
32,0,30088,0.5428404331207275,0.058062298256125015,0.0,0.0,gini,,auto,4,2,30,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 30}",,,,,,,,1262,,,,,,,
