,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,135396,5.594855499267578,0.9111584300275988,0.020814275741577147,0.006565611265884839,0.001,1000,0.0001,"{'C': 0.001, 'max_iter': 1000, 'tol': 0.0001}",0.9153719008264463,0.8627387764971387,0.929510155316607,0.9629751522132631,0.9313483623989791,0.9203888694504869,0.03275851954162447,52,0.9386062294463878,0.9370217531053646,0.9308239230447511,0.9240317157208684,0.9322486441385065,0.9325464530911758,0.005144040281930545
1,0,135396,2.724612903594971,0.1453287840926332,0.018541479110717775,0.0062161731440589785,0.001,1000,0.001,"{'C': 0.001, 'max_iter': 1000, 'tol': 0.001}",0.9107958251793868,0.8473355736917907,0.9197924640639619,0.9585535006605019,0.9132561132561132,0.9099466953703509,0.03575300409114013,73,0.9188918766806329,0.9352840002486685,0.9136863178528977,0.9084141524845427,0.9167446211412535,0.918604193681599,0.009052946049986438
2,0,135396,1.6897593021392823,0.04569178648137381,0.017009496688842773,0.0050713185675289795,0.001,1000,0.01,"{'C': 0.001, 'max_iter': 1000, 'tol': 0.01}",0.8928854381239106,0.8014470114281016,0.8827549947423764,0.9527326440177253,0.8973977043722071,0.8854435585368643,0.0485566730754136,96,0.8974089341297216,0.9215100601534951,0.893341514503946,0.8855324919161365,0.8923193245542184,0.8980224650515035,0.01234892774575773
3,0,135396,1.241184377670288,0.1220012183345572,0.015394973754882812,0.010020635732134017,0.001,1000,0.1,"{'C': 0.001, 'max_iter': 1000, 'tol': 0.1}",0.6350067842605156,0.4013725694083394,0.720417853751187,0.8979455486888258,0.8881199538638985,0.7085725419945533,0.18331582804110225,117,0.6008226349245918,0.6184653381437807,0.8070136986301369,0.7966758038550232,0.88634099819858,0.7418636947504225,0.11246538711237868
4,0,135396,0.7893306255340576,0.03870168185430064,0.010251712799072266,0.005715293172839175,0.001,1000,1.0,"{'C': 0.001, 'max_iter': 1000, 'tol': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,135396,5.281516742706299,0.8995137975624006,0.011389398574829101,0.006099331195515097,0.001,2000,0.0001,"{'C': 0.001, 'max_iter': 2000, 'tol': 0.0001}",0.9153719008264463,0.8627387764971387,0.929510155316607,0.9629751522132631,0.9313483623989791,0.9203888694504869,0.03275851954162447,52,0.9386062294463878,0.9370217531053646,0.9308239230447511,0.9240317157208684,0.9322486441385065,0.9325464530911758,0.005144040281930545
6,0,135396,2.6365617752075194,0.1468215722352294,0.01943058967590332,0.00533383443620351,0.001,2000,0.001,"{'C': 0.001, 'max_iter': 2000, 'tol': 0.001}",0.9107958251793868,0.8473355736917907,0.9197924640639619,0.9585535006605019,0.9132561132561132,0.9099466953703509,0.03575300409114013,73,0.9188918766806329,0.9352840002486685,0.9136863178528977,0.9084141524845427,0.9167446211412535,0.918604193681599,0.009052946049986438
7,0,135396,1.7378889083862306,0.09207099912541261,0.020857954025268556,0.0039834551344330405,0.001,2000,0.01,"{'C': 0.001, 'max_iter': 2000, 'tol': 0.01}",0.8928854381239106,0.8014470114281016,0.8827549947423764,0.9527326440177253,0.8973977043722071,0.8854435585368643,0.0485566730754136,96,0.8974089341297216,0.9215100601534951,0.893341514503946,0.8855324919161365,0.8923193245542184,0.8980224650515035,0.01234892774575773
8,0,135396,1.111629056930542,0.08778955074968711,0.011968994140625,0.006072435576123795,0.001,2000,0.1,"{'C': 0.001, 'max_iter': 2000, 'tol': 0.1}",0.6350067842605156,0.4013725694083394,0.720417853751187,0.8979455486888258,0.8881199538638985,0.7085725419945533,0.18331582804110225,117,0.6008226349245918,0.6184653381437807,0.8070136986301369,0.7966758038550232,0.88634099819858,0.7418636947504225,0.11246538711237868
9,0,135396,0.76884446144104,0.02552151603289802,0.011393356323242187,0.006101687946333075,0.001,2000,1.0,"{'C': 0.001, 'max_iter': 2000, 'tol': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,135396,5.299605035781861,0.887298328107192,0.016827821731567383,0.00969458145490266,0.001,5000,0.0001,"{'C': 0.001, 'max_iter': 5000, 'tol': 0.0001}",0.9153719008264463,0.8627387764971387,0.929510155316607,0.9629751522132631,0.9313483623989791,0.9203888694504869,0.03275851954162447,52,0.9386062294463878,0.9370217531053646,0.9308239230447511,0.9240317157208684,0.9322486441385065,0.9325464530911758,0.005144040281930545
11,0,135396,2.6389012336730957,0.10475563340544133,0.021751546859741212,0.004955842038596404,0.001,5000,0.001,"{'C': 0.001, 'max_iter': 5000, 'tol': 0.001}",0.9107958251793868,0.8473355736917907,0.9197924640639619,0.9585535006605019,0.9132561132561132,0.9099466953703509,0.03575300409114013,73,0.9188918766806329,0.9352840002486685,0.9136863178528977,0.9084141524845427,0.9167446211412535,0.918604193681599,0.009052946049986438
12,0,135396,1.7681206226348878,0.061035573833236635,0.017425155639648436,0.009222597434171859,0.001,5000,0.01,"{'C': 0.001, 'max_iter': 5000, 'tol': 0.01}",0.8928854381239106,0.8014470114281016,0.8827549947423764,0.9527326440177253,0.8973977043722071,0.8854435585368643,0.0485566730754136,96,0.8974089341297216,0.9215100601534951,0.893341514503946,0.8855324919161365,0.8923193245542184,0.8980224650515035,0.01234892774575773
